á	a u
aldrinum	a l t r ɪ n ʏ m
aldur	a l t ʏ r
aldurinn	a l t ʏ r ɪ n
aldursári	a l t ʏ r s a u r ɪ
aldursmunurinn	a l t ʏ r s m ʏ n ʏ r ɪ n
alelda	a l ɛ l t a
áletrunin	a u l ɛ t r ʏ n ɪ n
alex	a l ɛ k s
alexa	a l ɛ k s a
alexanderflugvelli	a l ɛ k s a n t ɛ r̥ f l ʏ ɣ v ɛ t l ɪ
alexandra	a l ɛ k s a n t r a
alexía	a l ɛ k s i j a
alfa	a l v a
álfaborgir	a u l v a p ɔ r c ɪ r
álfabrekku	a u l v a p r ɛ h k ʏ
álfabyggð	a u l v a p ɪ ɣ ð
álfafelli	a u l v a f ɛ t l ɪ
álfaheiði	a u l v a h e i ð ɪ
álfahvammi	a u l v a xʷ a m ɪ
álfahvarfi	a u l v a xʷ a r v ɪ
álfakirkju	a u l v a kʰ ɪ r̥ c ʏ
álfalandi	a u l v a l a n t ɪ
álfar	a u l v a r
alfarið	a l f a r ɪ ð
álfaskjóli	a u l v a s c o u l ɪ
álfasteini	a u l v a s t e i n ɪ
álfastöðum	a u l v a s t œ ð ʏ m
álfaströnd	a u l v a s t r œ n t
álfatröð	a u l v a tʰ r œ ð
álfaþingi	a u l v a θ i ŋ c ɪ
álfdís	a u l v t i s
álfey	a u l v e i
álfgeir	a u l v k e i r
álfgerður	a u l v c ɛ r ð ʏ r
álfgrímur	a u l v k r i m ʏ r
álfheiður	a u l v h e i ð ʏ r
álfheimum	a u l v h e i m ʏ m
álfhellu	a u l v h ɛ t l ʏ
álfhildur	a u l v h ɪ l t ʏ r
álfhóli	a u l v h o u l ɪ
álfhólsvegi	a u l v h o u l s v e i j ɪ
álfholti	a u l v h ɔ l̥ t ɪ
álfhólum	a u l v h o u l ʏ m
alfífa	a l f i v a
álfinn	a u l v ɪ n
alfons	a l f ɔ n s
alfred	a l f r ɛ ð
alfreð	a l f r ɛ ð
álfrós	a u l v r o u s
álfsól	a u l v s o u l
álfsstétt	a u l v s s t j ɛ h t
álfsstöðum	a u l v s s t œ ð ʏ m
álft	a u l f t
álftaási	a u l̥ t a a u s ɪ
álftadæl	a u l̥ t a t a i l
álftafirði	a u l̥ t a v ɪ r ð ɪ
álftagróf	a u l̥ t a k r o u v
álftahólum	a u l̥ t a h o u l ʏ m
álftalandi	a u l̥ t a l a n t ɪ
álftamýri	a u l̥ t a m i r ɪ
álftanesi	a u l̥ t a n ɛ s ɪ
álftaness	a u l̥ t a n ɛ s
álftanesvegi	a u l̥ t a n ɛ s v e i j ɪ
álftarhóli	a u l̥ t a r h o u l ɪ
álftárósi	a u l̥ t a u r o u s ɪ
álftártungukoti	a u l̥ t a u r tʰ u ŋ k ʏ kʰ ɔ t ɪ
álftavatni	a u l̥ t a v a h t n ɪ
álfur	a u l v ʏ r
álfþór	a u l v θ o u r
algeirsborg	a l c e i r̥ s p ɔ r k
algeng	a l c e i ŋ k
algengar	a l c e i ŋ k a r
algengara	a l c e i ŋ k a r a
algengasti	a l c e i ŋ k a s t ɪ
algengir	a l c e i ɲ c ɪ r
alger	a l c ɛ r
algerar	a l c ɛ r a r
algerlega	a l c ɛ r l ɛ ɣ a
algjör	a l c œ r
algjöran	a l c œ r a n
algjörlega	a l c œ r l ɛ ɣ a
algjört	a l c œ r̥ t
algríms	a l c r i m s
algróin	a l c r o u ɪ n
alheimur	a l h e i m ʏ r
álhellu	a u l h ɛ t l ʏ
alhvítt	a l xʷ i h t
ali	a l ɪ
áli	a u l ɪ
alida	a l ɪ t a
áliðnaði	a u l ɪ ð n a ð ɪ
áliðnaðinn	a u l ɪ ð n a ð ɪ n
alinn	a l ɪ n
alís	a l i s
alísa	a l i s a
álit	a u l ɪ t
álita	a u l ɪ t a
álitamál	a u l ɪ t a m a u l
áliti	a u l ɪ t ɪ
álitið	a u l ɪ t ɪ ð
álitin	a u l ɪ tʰ ɪ n
álitlegasta	a u l ɪ t l ɛ ɣ a s t a
álitlegur	a u l ɪ t l ɛ ɣ ʏ r
álits	a u l ɪ t s
alki	a l̥ c ɪ
alkóhólista	a l kʰ o u h o u l ɪ s t a
áll	a u t l
alla	a t l a
allan	a t l a n
allar	a t l a r
allavega	a t l a v ɛ ɣ a
allflestum	a l̥ f l ɛ s t ʏ m
allhvasst	a l̥ xʷ a s t
allhvöss	a l̥ xʷ œ s
allir	a t l ɪ r
allnokkrir	a l̥ n ɔ h k r ɪ r
allnokkuð	a l̥ n ɔ h k ʏ ð
allnokkur	a l̥ n ɔ h k ʏ r
allra	a l̥ r a
allrar	a l̥ r a r
allri	a l r ɪ
alls	a l s
allsber	a l s p ɛ r
allsgáð	a l s k a u ð
allsgáðir	a l s k a u ð ɪ r
allsherjarnefndar	a l s h ɛ r j a r t n ɛ m t a r
allsherjarverkfall	a l s h ɛ r j a r v ɛ r̥ k f a t l
allsherjarverkfalls	a l s h ɛ r j a r v ɛ r̥ k f a l s
allskonar	a l s kʰ ɔ n a r
allsráðandi	a l s r a u ð a n t ɪ
allsstaðar	a l s s t a ð a r
allt	a l̥ t
alltaf	a l̥ t a v
alltof	a l̥ t ɔ v
allur	a t l ʏ r
allvíða	a l v i ð a
allý	a l i
alma	a l m a
álmakór	a u l m a kʰ o u r
almanak	a l m a n a k
almannafæri	a l m a n n a f a i r ɪ
almannahagsmuna	a l m a n n a h a x s m ʏ n a
almannaöryggi	a l m a n n a œ r ɪ c ɪ
almannatengsl	a l m a n n a tʰ e i ŋ s t l
almannatryggingabætur	a l m a n n a tʰ r ɪ c i ŋ k a p a i t ʏ r
almannatryggingakerfinu	a l m a n n a tʰ r ɪ c i ŋ k a cʰ ɛ r v ɪ n ʏ
almannatryggingar	a l m a n n a tʰ r ɪ c i ŋ k a r
almannavarnir	a l m a n n a v a r t n ɪ r
almannaþjónustu	a l m a n n a θ j o u n ʏ s t ʏ
almenn	a l m ɛ n
almenna	a l m ɛ n a
almennar	a l m ɛ n a r
almennilegir	a l m ɛ n ɪ l e i j ɪ r
almenning	a l m ɛ n i ŋ k
almenningi	a l m ɛ n i ɲ c ɪ
almennings	a l m ɛ n i ŋ k s
almenningssamgöngur	a l m ɛ n i ŋ k s s a m k ø y ŋ k ʏ r
almenningssíma	a l m ɛ n i ŋ k s s i m a
almenningssímar	a l m ɛ n i ŋ k s s i m a r
almenningur	a l m ɛ n i ŋ k ʏ r
almennir	a l m ɛ n ɪ r
almennra	a l m ɛ n r a
almennri	a l m ɛ n r ɪ
almennt	a l m ɛ n̥ t
álmskógum	a u l m s k o u ʏ m
álögur	a u l œ ɣ ʏ r
alrangt	a l r a u ŋ k t
alrekur	a l r ɛ k ʏ r
alríkislögreglan	a l r i c ɪ s t l œ ɣ r ɛ k l a n
alríkislögreglunnar	a l r i c ɪ s t l œ ɣ r ɛ k l ʏ n a r
alröng	a l r ø y ŋ k
alrún	a l r u n
alsír	a l s i r
álsvöllum	a u l s v œ t l ʏ m
alt	a l̥ t
altarisgöngu	a l̥ t a r ɪ s k ø y ŋ k ʏ
altekið	a l̥ t ɛ c ɪ ð
alvanalegt	a l v a n a l ɛ ɣ t
alvara	a l v a r a
alvarleg	a l v a r l ɛ ɣ
alvarlega	a l v a r l ɛ ɣ a
alvarlegar	a l v a r l ɛ ɣ a r
alvarlegri	a l v a r l ɛ ɣ r ɪ
alvarlegt	a l v a r l ɛ ɣ t
alvarlegum	a l v a r l ɛ ɣ ʏ m
alvarlegustu	a l v a r l ɛ ɣ ʏ s t ʏ
alveg	a l v ɛ ɣ
álver	a u l v ɛ r
álveri	a u l v ɛ r ɪ
álverið	a u l v ɛ r ɪ ð
álverinu	a u l v ɛ r ɪ n ʏ
álvers	a u l v ɛ r̥ s
álversins	a u l v ɛ r̥ s ɪ n s
álverum	a u l v ɛ r ʏ m
alviðru	a l v ɪ ð r ʏ
alvilda	a l v ɪ l t a
alvin	a l v ɪ n
álvinnsla	a u l v ɪ n s t l a
alvöru	a l v œ r ʏ
alvörunni	a l v œ r ʏ n ɪ
álykta	a u l ɪ x t a
ályktun	a u l ɪ x t ʏ n
ályktunin	a u l ɪ x t ʏ n ɪ n
ályktuninni	a u l ɪ x t ʏ n ɪ n ɪ
alþekkt	a l θ ɛ x t
alþingi	a l θ i ŋ c ɪ
alþingis	a l θ i ŋ c ɪ s
alþingishúsið	a l θ i ŋ c ɪ s h u s ɪ ð
alþingiskosningum	a l θ i ŋ c ɪ s k ɔ s t n i ŋ k ʏ m
alþingismenn	a l θ i ŋ c ɪ s m ɛ n
alþjóðagjaldeyrissjóðsins	a l θ j o u ð a j a l t e i r ɪ s s j o u ð s ɪ n s
alþjóðleg	a l θ j o u ð l ɛ ɣ
alþjóðlega	a l θ j o u ð l ɛ ɣ a
alþjóðlegar	a l θ j o u ð l ɛ ɣ a r
alþjóðlegra	a l θ j o u ð l ɛ ɣ r a
alþjóðlegt	a l θ j o u ð l ɛ ɣ t
alþjóðlegu	a l θ j o u ð l ɛ ɣ ʏ
alþjóðlegum	a l θ j o u ð l ɛ ɣ ʏ m
alþjóðlegur	a l θ j o u ð l ɛ ɣ ʏ r
alþýða	a l θ i ð a
alþýðusambandið	a l θ i ð ʏ s a m p a n t ɪ ð
alþýðuskóla	a l θ i ð ʏ s k o u l a
ám	a u m
ama	a m a
amaba	a m a p a
amaði	a m a ð ɪ
amalegur	a m a l ɛ ɣ ʏ r
amalía	a m a l i j a
amanda	a m a n t a
amar	a m a r
amelía	a m ɛ l i j a
amerískur	a m ɛ r i s k ʏ r
amfetamín	a m f ɛ t a m i n
amfetamínið	a m f ɛ t a m i n ɪ ð
áminna	a u m ɪ n a
áminning	a u m ɪ n i ŋ k
áminningu	a u m ɪ n i ŋ k ʏ
áminnir	a u m ɪ n ɪ r
áminntur	a u m ɪ n̥ t ʏ r
amma	a m a
amman	a m a n
amosámundi	a m ɔ s a u m ʏ n t ɪ
ámóta	a u m o u t a
amsterdam	a m s t ɛ r t a m
amý	a m i
án	a u n
ána	a u n a
ánabrekku	a u n a p r ɛ h k ʏ
ánægð	a u n a i ɣ ð
ánægðir	a u n a i ɣ ð ɪ r
ánægður	a u n a i ɣ ð ʏ r
ánægja	a u n a i j a
ánægjuleg	a u n a i j ʏ l ɛ ɣ
ánægjulegasti	a u n a i j ʏ l ɛ ɣ a s t ɪ
ánægjulegt	a u n a i j ʏ l ɛ ɣ t
ánafnað	a u n a p n a ð
ánahlíð	a u n a l̥ i ð
ánalandi	a u n a l a n t ɪ
ánanaust	a u n a n ø y s t
anarkista	a n a r̥ c ɪ s t a
anarkistar	a n a r̥ c ɪ s t a r
anastasía	a n a s t a s i j a
ánastöðum	a u n a s t œ ð ʏ m
anda	a n t a
andakílshreppi	a n t a cʰ i l s r̥ ɛ h p ɪ
andakílsvirkjun	a n t a cʰ i l s v ɪ r̥ k j ʏ n
andar	a n t a r
andarhvarfi	a n t a r xʷ a r v ɪ
andartak	a n t a r tʰ a k
andartökum	a n t a r tʰ œ k ʏ m
andblæinn	a n t p l a i j ɪ n
anddyri	a n t t ɪ r ɪ
andefni	a n t ɛ p n ɪ
anders	a n t ɛ r s
anderson	a n t ɛ r s ɔ n
andersson	a n t ɛ r s s ɔ n
andi	a n t ɪ
andköf	a n t kʰ œ v
andlát	a n t l a u t
andlega	a n t l ɛ ɣ a
andlegt	a n t l ɛ ɣ t
andlit	a n t l ɪ t
andliti	a n t l ɪ t ɪ
andlitið	a n t l ɪ t ɪ ð
andlits	a n t l ɪ t s
andlitsfarðans	a n t l ɪ t s f a r ð a n s
andlitsins	a n t l ɪ t s ɪ n s
andófsmenn	a n t o u v s m ɛ n
andorra	a n t ɔ r a
andra	a n t r a
andrá	a n t r a u
andráin	a n t r a u ɪ n
andrea	a n t r ɛ a
andrés	a n t r j ɛ s
andrésfjósum	a n t r j ɛ s f j o u s ʏ m
andri	a n t r ɪ
andrúmsloft	a n t r u m s t l ɔ f t
andrúmslofti	a n t r u m s t l ɔ f t ɪ
andrúmsloftið	a n t r u m s t l ɔ f t ɪ ð
andsnúnir	a n t s n u n ɪ r
andspænis	a n t s p a i n ɪ s
andspyrna	a n t s p ɪ r t n a
andstaða	a n t s t a ð a
andstæð	a n t s t a i ð
andstæðinga	a n t s t a i ð i ŋ k a
andstæðingar	a n t s t a i ð i ŋ k a r
andstæðingi	a n t s t a i ð i ɲ c ɪ
andstæðingur	a n t s t a i ð i ŋ k ʏ r
andstætt	a n t s t a i h t
andstöðu	a n t s t œ ð ʏ
andstyggilegar	a n t s t ɪ c ɪ l ɛ ɣ a r
andstyggilegt	a n t s t ɪ c ɪ l ɛ ɣ t
andvaka	a n t v a k a
andvana	a n t v a n a
andvaraleysi	a n t v a r a l e i s ɪ
andvarpaði	a n t v a r̥ p a ð ɪ
andvíg	a n t v i ɣ
andvígur	a n t v i ɣ ʏ r
andvirði	a n t v ɪ r ð ɪ
anes	a n ɛ s
anga	a u ŋ k a
angantýr	a ŋ k a n tʰ i r
angar	a ŋ k a r
angela	a u ŋ c ɛ l a
angelíka	a u ŋ c ɛ l i k a
angi	a ŋ c ɪ
angóla	a ŋ k o u l a
anika	a n ɪ k a
aníka	a n i k a
anína	a n i n a
anita	a n ɪ t a
aníta	a n i t a
anja	a n j a
ankara	a ŋ̊ k a r a
ankeri	a n cʰ ɛ r ɪ
anna	a n a
annabella	a n a p ɛ t l a
annað	a n a ð
annan	a n a n
annar	a n a r
annarlegu	a n a r l ɛ ɣ ʏ
annarr	a n a r
annarra	a n a r a
annarri	a n a r r ɪ
annars	a n a r s
annarsstaðar	a n a r s s t a ð a r
annasöm	a n a s œ m
annast	a n a s t
annel	a n ɛ l
annesjum	a n ɛ s j ʏ m
anney	a n e i
anni	a n ɪ
annía	a n i j a
annika	a n ɪ k a
annir	a n ɪ r
annríki	a n r i c ɪ
ansa	a n s a
ansi	a n s ɪ
antananarívó	a n̥ t a n a n a r i v o u
anthony	a n̥ t h ɔ n ɪ
antígva	a n tʰ i k v a
anton	a n tʰ ɔ n
ánum	a u n ʏ m
aparnir	a p a r t n ɪ r
api	a p ɪ
apóteka	a p o u tʰ ɛ k a
appelsínugult	a h p ɛ l s i n ʏ k ʏ l̥ t
appelsínugulum	a h p ɛ l s i n ʏ k ʏ l ʏ m
apríl	a p r i l
apríllok	a p r i t l ɔ k
aprílmánuði	a p r i l m a u n ʏ ð ɪ
ár	a u r
ára	a u r a
araba	a r a p a
arabæjarhjáleigu	a r a p a i j a r̥ ç a u l e i ɣ ʏ
arabaheiminum	a r a p a h e i m ɪ n ʏ m
arabalöndum	a r a p a l œ n t ʏ m
arabar	a r a p a r
arabaríki	a r a p a r i c ɪ
árabil	a u r a p ɪ l
arabískir	a r a p i s k ɪ r
arabísku	a r a p i s k ʏ
aragerði	a r a k ɛ r ð ɪ
arahólum	a r a h o u l ʏ m
arakletti	a r a kʰ l ɛ h t ɪ
arakór	a r a k o u r
arakoti	a r a kʰ ɔ t ɪ
árakri	a u r a kʰ r ɪ
áramót	a u r a m o u t
áramótabrennum	a u r a m o u t a p r ɛ n ʏ m
áramótaskaupinu	a u r a m o u t a s k ø y p ɪ n ʏ
áramótin	a u r a m o u tʰ ɪ n
aran	a r a n
árangri	a u r a u ŋ k r ɪ
árangur	a u r a u ŋ k ʏ r
árangurinn	a u r a u ŋ k ʏ r ɪ n
árangurs	a u r a u ŋ k ʏ r̥ s
árangurslaust	a u r a u ŋ k ʏ r̥ s t l ø y s t
árangursríkust	a u r a u ŋ k ʏ r̥ s r i k ʏ s t
árar	a u r a r
árás	a u r a u s
árásanna	a u r a u s a n a
árásar	a u r a u s a r
árásarhug	a u r a u s a r h ʏ ɣ
árásarinnar	a u r a u s a r ɪ n a r
árásarmaður	a u r a u s a r m a ð ʏ r
árásarmaðurinn	a u r a u s a r m ɛ n i t n
árásarmanni	a u r a u s a r m a n ɪ
árásarmanninn	a u r a u s a r m a n ɪ n
árásarmannsins	a u r a u s a r m a n s ɪ n s
árásarmenn	a u r a u s a r m ɛ n
árásarmennirnir	a u r a u s a r m ɛ n ɪ r t n ɪ r
árásin	a u r a u s ɪ n
árásina	a u r a u s ɪ n a
árásinni	a u r a u s ɪ n ɪ
árásir	a u r a u s ɪ r
árásirnar	a u r a u s ɪ r t n a r
árásum	a u r a u s ʏ m
árásunum	a u r a u s ʏ n ʏ m
áratug	a u r a tʰ ʏ ɣ
áratugarins	a u r a tʰ ʏ ɣ a r ɪ n s
áratugi	a u r a t ʏ j ɪ
áratuginn	a u r a t ʏ j ɪ n
áratugnum	a u r a tʰ ʏ k n ʏ m
áratugum	a u r a t ʏ ɣ ʏ m
aratungu	a r a t u ŋ k ʏ
aratúni	a r a t u n ɪ
árbæ	a u r p a i
árbæjarbletti	a u r p a i j a r p l ɛ h t ɪ
árbæjarhverfi	a u r p a i j a r xʷ ɛ r v ɪ
árbæjarkanti	a u r p a i j a r̥ k a n̥ t ɪ
árbæjarskóla	a u r p a i j a r s k o u l a
árbænum	a u r p a i n ʏ m
árbakka	a u r p a h k a
árbergi	a u r p ɛ r c ɪ
árbjartur	a u r p j a r̥ t ʏ r
árbjörg	a u r p j œ r k
árbjörn	a u r p j œ r t n
árbjört	a u r p j œ r̥ t
árbliki	a u r p l ɪ k ɪ
árborg	a u r p ɔ r k
árbót	a u r p o u t
árbraut	a u r p r ø y t
arð	a r ð
árdal	a u r t a l
arðbærust	a r ð p a i r ʏ s t
arðgreiðsla	a r ð k r e i ð s t l a
arðgreiðslur	a r ð k r e i ð s t l ʏ r
ardís	a r t i s
árdís	a u r t i s
arðsemi	a r ð s ɛ m ɪ
arðsemin	a r ð s ɛ m ɪ n
arðurinn	a r ð ʏ r ɪ n
áreiðanlegum	a u r e i ð a n l ɛ ɣ ʏ m
áreitni	a u r e i h t n ɪ
áreittir	a u r e i h t ɪ r
árekstra	a u r ɛ k s t r a
árekstrar	a u r ɛ k s t r a r
árekstri	a u r ɛ k s t r ɪ
árekstrinum	a u r ɛ k s t r ɪ n ʏ m
árekstur	a u r ɛ k s t ʏ r
áreksturinn	a u r ɛ k s t ʏ r ɪ n
árelía	a u r ɛ l i j a
arent	a r ɛ n̥ t
ares	a r ɛ s
arey	a r e i
áreyjum	a u r e i j ʏ m
arf	a r v
arfa	a r v a
árferði	a u r̥ f ɛ r ð ɪ
arftaki	a r f t a c ɪ
árganga	a u r k a u ŋ k a
árgeir	a u r k e i r
argentína	a r k ɛ n tʰ i n a
argentínumenn	a r k ɛ n tʰ i n ʏ m ɛ n
árgerði	a u r c ɛ r ð ɪ
árgils	a u r c ɪ l s
árgötu	a u r k œ t ʏ
árhóli	a u r h o u l ɪ
árholti	a u r h ɔ l̥ t ɪ
árhólum	a u r h o u l ʏ m
árhvammi	a u r xʷ a m ɪ
ari	a r ɪ
ári	a u r ɪ
aría	a r i j a
árið	a u r ɪ ð
aríella	a r i j ɛ t l a
arilíus	a r ɪ l i j ʏ s
árin	a u r ɪ n
arín	a r i n
arína	a r i n a
arinbjörg	a r ɪ n p j œ r k
arinbjörn	a r ɪ n p j œ r t n
árinu	a u r ɪ n̥ ʏ
aris	a r ɪ s
árita	a u r ɪ t a
árituðu	a u r ɪ t ʏ ð ʏ
aríus	a r i j ʏ s
arkarholti	a r̥ k a r h ɔ l̥ t ɪ
arkitektúr	a r̥ c ɪ tʰ ɛ x t u r
árlaug	a u r t l ø y ɣ
árlegur	a u r l ɛ ɣ ʏ r
ármann	a u r m a n
ármanns	a u r m a n s
armenía	a r m ɛ n i j a
armeníu	a r m ɛ n i j ʏ
ármenningar	a u r m ɛ n i ŋ k a r
ármey	a u r m e i
ármóti	a u r m o u t ɪ
ármúla	a u r m u l a
arna	a r t n a
árna	a u r t n a
árnagötu	a u t n a k œ t ʏ
arnald	a r t n a l t
arnaldar	a r t n a l t a r
arnaldur	a r t n a l t ʏ r
árnanesi	a u t n a n ɛ s ɪ
arnar	a r t n a r
árnar	a u r t n a r
arnarási	a r t n a r a u s ɪ
arnarbæ	a r t n a r p a i
arnarbæli	a r t n a r p a i l ɪ
arnarbakka	a r t n a r p a h k a
arnardal	a r t n a r t a l
arnarfelli	a r t n a r f ɛ t l ɪ
arnarflötum	a r t n a r f l œ t ʏ m
arnargarði	a r t n a r k a r ð ɪ
arnargötu	a r t n a r k œ t ʏ
arnarheiði	a r t n a r h e i ð ɪ
arnarhöfða	a r t n a r h œ v ð a
arnarhóli	a r t n a r h o u l ɪ
arnarholti	a r t n a r h ɔ l̥ t ɪ
arnarhrauni	a r t n a r r̥ ø y n ɪ
arnarhvoli	a r t n a r xʷ ɔ l ɪ
arnarkletti	a r t n a r kʰ l ɛ h t ɪ
arnarnesi	a r t n a r t n ɛ s ɪ
arnarsíðu	a r t n a r s i ð ʏ
arnarsmára	a r t n a r s m a u r a
arnarstapa	a r t n a r s t a p a
arnarstöðum	a r t n a r s t œ ð ʏ m
arnartanga	a r t n a r tʰ a u ŋ k a
arnarvatni	a r t n a r v a h t n ɪ
arnarvatnsheiði	a r t n a r v a s h e i ð ɪ
arnarvelli	a r t n a r v ɛ t l ɪ
árnastíg	a u t n a s t i ɣ
arnberg	a r t n p ɛ r k
arnbergi	a r t n p ɛ r c ɪ
arnbergur	a r t n p ɛ r k ʏ r
arnbjargarlæk	a r t n p j a r k a r l a i k
arnborg	a r t n p ɔ r k
arndís	a r t n t i s
árndís	a u r t n t i s
arndísarstöðum	a r t n t i s a r s t œ ð ʏ m
árneshreppi	a u r t n ɛ s r̥ ɛ h p ɪ
árnesi	a u r t n ɛ s ɪ
arney	a r t n e i
árney	a u r t n e i
arnfinnur	a r t n f ɪ n ʏ r
arnfreyr	a r t n f r e i r
arnfríður	a r t n f r i ð ʏ r
arngeir	a r t n k e i r
arngeirsstaðir	a r t n k e i r s s t a ð ɪ r
arngerður	a r t n c ɛ r ð ʏ r
arngrímur	a r t n k r i m ʏ r
arngunnur	a r t n k ʏ n ʏ r
arnheiðarstöðum	a r t n h e i ð a r s t œ ð ʏ m
arnheiður	a r t n h e i ð ʏ r
arnhólsstöðum	a r t n h o u l s s t œ ð ʏ m
árni	a u r t n ɪ
árnína	a u r t n i n a
arninum	a r t n ɪ n ʏ m
arnkell	a r t n cʰ ɛ t l
arnlaug	a r t n l ø y ɣ
arnlaugur	a r t n l ø y ɣ ʏ r
arnleif	a r t n l e i v
arnleifur	a r t n l e i v ʏ r
arnlín	a r t n l i n
arnljót	a r t n l j o u t
arnljótur	a r t n l j o u t ʏ r
arnmóður	a r t n m o u ð ʏ r
arnoddur	a r t n ɔ t ʏ r
arnold	a r t n ɔ l t
arnór	a r t n o u r
arnórsstöðum	a r t n o u r̥ s s t œ ð ʏ m
arnrós	a r t n r o u s
arnrún	a r t n r u n
arnstapa	a r t n s tʰ a p a
arnsteinn	a r t n s t e i t n
arnúlfur	a r t n u l v ʏ r
arnviður	a r t n v ɪ ð ʏ r
arnþór	a r t n θ o u r
arnþóra	a r t n θ o u r a
arnþórsgerði	a r t n θ o u r̥ s c ɛ r ð ɪ
arnþrúður	a r t n θ r u ð ʏ r
áróðri	a u r o u ð r ɪ
áróður	a u r o u ð ʏ r
aron	a r ɔ n
áróra	a u r o u r a
árósum	a u r o u s ʏ m
árrisulir	a u r r ɪ s ʏ l ɪ r
árs	a u r̥ s
ársæl	a u r̥ s a i l
ársæll	a u r̥ s a i t l
ársdvalar	a u r̥ s t v a l a r
arsenik	a r s ɛ n ɪ k
ársfjórðunga	a u r̥ s f j o u r ð u ŋ k a
ársfjórðungi	a u r̥ s f j o u r ð u ŋ k ɪ
ársfjórðungslega	a u r̥ s f j o u r ð u ŋ k s l ɛ ɣ a
ársfundur	a u r̥ s f ʏ n t ʏ r
ársgamalt	a u r̥ s k a m a l̥ t
ársins	a u r̥ s ɪ n s
árskógi	a u r s k o u c ɪ
árskógum	a u r s k o u ʏ m
árslok	a u r̥ s t l ɔ k
ársól	a u r̥ s o u l
ársölum	a u r̥ s œ l ʏ m
ársreikningi	a u r̥ s r e i k n i ɲ c ɪ
ársreikningum	a u r̥ s r e i k n i ŋ k ʏ m
ársskýrsla	a u r̥ s s c i r̥ s t l a
ársskýrslu	a u r̥ s s c i r̥ s l ʏ
árstíg	a u r̥ s t i ɣ
ársverka	a u r̥ s v ɛ r̥ k a
árteigi	a u r tʰ e i j ɪ
arthur	a r̥ t h ʏ r
arthúr	a r̥ t h u r
ártíð	a u r tʰ i ð
ártröð	a u r tʰ r œ ð
ártungu	a u r tʰ u ŋ k ʏ
ártúni	a u r tʰ u n ɪ
ártúnshöfða	a u r tʰ u n s h œ v ð a
ártúnum	a u r tʰ u n ʏ m
artúr	a r tʰ u r
árum	a u r ʏ m
árvaði	a u r v a ð ɪ
árvangi	a u r v a u ŋ c ɪ
árvegi	a u r v e i j ɪ
árvekni	a u r v ɛ h k n ɪ
árvök	a u r v œ k
árvöllum	a u r v œ t l ʏ m
árþóra	a u r θ o u r a
ás	a u s
ásabraut	a u s a p r ø y t
ásabyggð	a u s a p ɪ ɣ ð
asael	a s a ɛ l
ásakanir	a u s a k a n ɪ r
ásakanirnar	a u s a k a n ɪ r t n a r
ásakór	a u s a k o u r
ásamt	a u s a m̥ t
ásamýri	a u s a m i r ɪ
ásaskóla	a u s a s k o u l a
ásastíg	a u s a s t i ɣ
ásatrúarmenn	a u s a tʰ r u a r m ɛ n
ásavegi	a u s a v e i j ɪ
ásaþingi	a u s a θ i ŋ c ɪ
ásberg	a u s p ɛ r k
ásbjarnarstöðum	a u s p j a r t n a r s t œ ð ʏ m
ásbjörn	a u s p j œ r t n
ásbjörns	a u s p j œ r t n s
ásbrandsstöðum	a u s p r a n t s s t œ ð ʏ m
ásbraut	a u s p r ø y t
ásbrekku	a u s p r ɛ h k ʏ
ásbrú	a u s p r u
ásbrún	a u s p r u n
ásbúð	a u s p u ð
ásbúðartröð	a u s p u ð a r tʰ r œ ð
ásbyrgi	a u s p ɪ r c ɪ
ásdís	a u s t i s
ásdísar	a u s t i s a r
aserbaídsjan	a s ɛ r p a i t s j a n
ásfelli	a u s f ɛ t l ɪ
ásfríður	a u s f r i ð ʏ r
ásgarði	a u s k a r ð ɪ
ásgarðsnesi	a u s k a r ð s n ɛ s ɪ
ásgarðsvegi	a u s k a r ð s v e i j ɪ
ásgautur	a u s k ø y t ʏ r
ásgeir	a u s k e i r
ásgeirsbrekku	a u s k e i r̥ s p r ɛ h k ʏ
ásgeirsgötu	a u s k e i r s k œ t ʏ
ásgerði	a u s c ɛ r ð ɪ
ásgerður	a u s c ɛ r ð ʏ r
ásgils	a u s c ɪ l s
ásgrímur	a u s k r i m ʏ r
áshamri	a u s h a m r ɪ
ásheimum	a u s h e i m ʏ m
áshildarholti	a u s h ɪ l t a r h ɔ l̥ t ɪ
áshildur	a u s h ɪ l t ʏ r
áshlíð	a u s l̥ i ð
ásholti	a u s h ɔ l̥ t ɪ
ási	a u s ɪ
asískum	a s i s k ʏ m
ásjár	a u s j a u r
aska	a s k a
askan	a s k a n
áskell	a u s cʰ ɛ t l
aski	a s k ɪ
áskilur	a u s c ɪ l ʏ r
áskinn	a u s c ɪ n
áskorun	a u s k ɔ r ʏ n
áskrifendur	a u s k r ɪ f ɛ n t ʏ r
áskrift	a u s k r ɪ f t
askur	a s k ʏ r
ásla	a u s t l a
ásláksstöðum	a u s t l a u k s s t œ ð ʏ m
áslákur	a u s t l a u k ʏ r
áslandi	a u s t l a n t ɪ
áslaug	a u s l ø y ɣ
áslaugur	a u s l ø y ɣ ʏ r
ásmar	a u s m a r
ásmund	a u s m ʏ n t
ásmundar	a u s m ʏ n t a r
ásmundarstöðum	a u s m ʏ n t a r s t œ ð ʏ m
ásmundi	a u s m ʏ n t ɪ
ásmundur	a u s m ʏ n t ʏ r
ásmýri	a u s m i r ɪ
asna	a s n a
