a	ox
alitipun	a l i t i p u n
aliva	a l i f ox
aliyev	a l i y ex f
alizé	a l i z e
alizée	a l i z e ex
aljabar	a l j a b a r
aljazair	a l j a z a i r
alkali	a l k a l i
alkaloid	a l k a l o i d
alkana	ox l k ox n ox
alkes	a l k ex s
alkestis	a l k ex s t i s
alketis	a l k ex t i s
alkimia	a l k i m i ox
alkitab	a l k i t a b
alkmaar	a l k m a a r
alkmene	a l k m ex n ex
alkohol	a l k o h o l
alkoholé	a l k o h o l e
alkoholisme	a l k o h o l i s m ex
alkoksida	a l k o k s i d ox
alkuin	a l k u i n
alkuna	a l k u n ox
all	a l l
alla	ox l l ox
allaahu	a l l a a h u
allaf	a l l a f
allah	a l l a h
allâh	a l l ox h
allahomma	a l l a h o m m ox
allahu	a l l a h u
allahummagfirli	a l l a h u m m a g f i r l i
allan	a l l a n
allbrug	a l l b r u g
allen	a l l ex n
allenstein	a l l ex n s t ex i n
aller	a l l ex r
alley	a l l ex y
alliance	a l l i a n c ex
allianz	a l l i a n z
allimin	a l l i m i n
allium	a l l i u m
allo	a l l o
alloh	a l l o h
allometric	a l l o m ex t r i c
allopurinol	a l l o p u r i n o l
alm	a l m
almamateripun	a l m a m a t ex r i p u n
almanak	a l m a n a k
almarhum	a l m a r h u m
almassi	a l m a s s i
almond	a l m o n d
aln	a l n
alnair	a l n a i r
alni	a l n i
alnitak	a l n i t a k
alocasia	a l o c a s i ox
aloe	a l u
aloebarbadensis	a l u b a r b a d ex n s i s
aloh	a l o h
alois	a l o i s
alomorf	a l o m o r f
alon	a l o n
alona	a l o n ox
alonso	a l o n s o
alor	a l o r
alot	a l o t
alotop	a l o t o p
alotrop	a l o t r o p
alowisya	a l o w i sy ox
aloysius	a l o y s i u s
alpen	a l p ex n
alpetragius	a l p ex t r a g i u s
alpha	ox l p h ox
alphabet	a l p h a b ex t
alphekka	a l p h ex k k ox
alpi	a l p i
alpin	a l p i n
alpinia	a l p i n i ox
alpirsbach	a l p i r s b a kh
alpukad	a l p u k a d
alpukat	a l p u k a t
als	a l s
alsace	a l s a c ex
alsciaukat	a l s c i a u k a t
alsides	a l s i d ex s
also	a l s o
alster	a l s t ex r
alstom	a l s t o m
alt	a l t
altai	a l t a i
altaik	a l t a i k
altar	a l t a r
altbier	a l t b i ex r
altdorf	a l t d o r f
alternatif	a l t ex r n a t i f
alternative	a l t ex r n a t i f ex
alternator	a l t ex r n a t o r
althea	a l th ex ox
altilis	a l t i l i s
altino	a l t i n o
alto	a l t o
alton	a l t o n
alu	a l u
alugara	a l u g ox r ox
aluhur	a l u h u r
alul	a l u l
alum	a l u m
alumi	a l u m i
aluminium	a l u m i n i u m
aluminum	a l u m i n u m
alumni	a l u m n i
alumnus	a l u m n u s
alumunium	a l u m u n i u m
alun	a l u n
alur	a l u r
alurkan	a l u r k a n
alus	a l u s
alusing	a l u s i ng
alustuladha	a l u s t u l ox dh ox
alveolar	a l f ex o l a r
alwi	a l w i
alya	ox l y ox
alyogyne	a l y o g y n ex
alyson	a l y s o n
alyssa	ox l y s s ox
alzheimer	a l z h ex i m ex r
am	a m
ama	ox m ox
amabane	a m a b a n ex
amabanipun	a m a b a n i p u n
amabilis	a m a b i l i s
amada	ox m ox d ox
amadeu	a m a d ex u
amal	a m a l
amalaka	ox m ox l ox k ox
amalan	a m a l a n
amalasuntha	a m a l a s u n th ox
amalat	a m a l a t
amale	a m a l ex
amalia	a m a l i ox
amalthaea	a m a l th a ex ox
amalya	ox m ox l y ox
aman	a m a n
amanah	a m a n a h
amanda	ox m ox n d ox
amandel	a m a n d ex l
amandemèn	a m a n d ex m e n
amandhel	a m a n dh ex l
amandit	a m a n d i t
amangkurat	a m a ng k u r a t
amanita	a m a n i t ox
amann	a m a n n
amar	a m a r
amara	ox m ox r ox
amarante	a m a r a n t ex
amaretti	a m a r ex t t i
amarga	ox m ox r g ox
amargi	a m a r g i
amarha	ox m ox r h ox
amaria	a m a r i ox
amarru	a m a r r u
amarta	ox m ox r t ox
amartya	ox m ox r t y ox
amaryllifolius	a m a r y l l i f o l i u s
amat	a m a t
amataresu	a m a t a r ex s u
amateur	a m a t ex u r
amatir	a m a t i r
amauri	a m a u r i
amazon	a m a z o n
amazulu	a m a z u l u
amba	ox m b ox
ambabar	a m b a b a r
ambal	a m b a l
ambalan	a m b a l a n
ambali	a m b a l i
ambalika	a m b a l i k ox
ambane	a m b a n ex
ambané	a m b a n e
ambang	a m b a ng
ambangun	a m b a ng u n
ambanipun	a m b a n i p u n
åmbånipun	ox m b ox n i p u n
ambar	a m b a r
ambarawa	ox m b ox r ox w ox
ambarsari	a m b a r s a r i
ambarwati	a m b a r w a t i
ambasador	a m b a s a d o r
ambata	ox m b ox t ox
ambedhaya	a m b ex dh ox y ox
ambegan	a m b ex g a n
ambegane	a m b ex g a n ex
ambegané	a m b ex g a n e
ambegawan	a m b ex g a w a n
ambeien	a m b ex i ex n
ambek	a m b ex k
ambèk	a m b e k
ambekan	a m b ex k a n
ambekta	a m b ex k t ox
amben	a m b ex n
amber	a m b ex r
amberi	a m b ex r i
ambetan	a m b ex t a n
ambiguitas	a m b i g u i t a s
ambika	a m b i k ox
ambilke	a m b i l k ex
ambisi	a m b i s i
ambisine	a m b i s i n ex
ambition	a m b i t i o n
ambiyantu	a m b i y a n t u
amblas	a m b l a s
ambléonais	a m b l e o n a i s
ambléonaises	a m b l e o n a i s ex s
ambles	a m b l ex s
amboise	a m b o i s ex
ambon	a m b o n
ambra	ox m b r ox
ambrogio	a m b r o g i o
ambrol	a m b r o l
ambrosius	a m b r o s i u s
ambrossio	a m b r o s s i o
ambruk	a m b r u k
ambu	a m b u
ambulakral	a m b u l a k r a l
ambulan	a m b u l a n
ambulu	a m b u l u
ambune	a m b u n ex
ambuné	a m b u n e
ambunipun	a m b u n i p u n
ambut	a m b u t
ambyar	a m b y a r
amearga	a m ex ox r g ox
amedy	a m ex d y
ameh	a m ex h
améh	a m e h
amèh	a m e h
améika	a m e i k ox
amel	a m ex l
amelia	a m ex l i ox
amélie	a m e l i ex
amerga	a m ex r g ox
amérga	a m e r g ox
amergane	a m ex r g a n ex
amergi	a m ex r g i
amérgi	a m e r g i
american	a m ex r i c a n
americanae	a m ex r i c a n a ex
americanarum	a m ex r i c a n a r u m
amerika	a m ex r i k ox
amérika	a m e r i k ox
amèrika	a m e r i k ox
amerikah	a m ex r i k a h
amérique	a m e r i k u ex
amerta	a m ex r t ox
amethyst	a m ex th y s t
ametis	a m ex t i s
ametung	a m ex t u ng
amfibi	a m f i b i
amfitrion	a m f i t r i o n
ami	a m i
amico	a m i c o
amida	a m i d ox
amien	a m i ex n
amiens	a m i ex n s
amigos	a m i g o s
amik	a m i k
amil	a m i l
amilase	a m i l a s ex
amilopektin	a m i l o p ex k t i n
amin	a m i n
amina	a m i n ox
aminah	a m i n a h
aminarti	a m i n a r t i
amindha	a m i n dh ox
aming	a m i ng
amino	a m i n o
aminoné	a m i n o n e
aminten	a m i n t ex n
amir	a m i r
amis	a m i s
amisamis	a m i s a m i s
amisé	a m i s e
amit	a m i t
amitabh	a m i t a b h
amman	a m m a n
ammar	a m m a r
ammodendri	a m m o d ex n d r i
ammoniac	a m m o n i a c
amoeba	a m u b ox
amoeboid	a m u b o i d
amoga	a m o g ox
amoghapasa	a m o g h ox p ox s ox
among	a m o ng
amonia	a m o n i ox
amoniak	a m o n i a k
amonifikasi	a m o n i f i k a s i
amonium	a m o n i u m
amor	a m o r
amore	a m o r ex
amoria	a m o r i ox
amorphis	a m o r p h i s
amorphophallus	a m o r p h o p h a l l u s
amos	a m o s
amot	a m o t
amoureux	a m o u r ex u k s
amoxicillin	a m o k s i c i l l i n
amoy	a m o y
ampal	a m p a l
ampar	a m p a r
ampas	a m p a s
ampasé	a m p a s e
ampasipun	a m p a s i p u n
ampat	a m p a t
ampel	a m p ex l
ampèl	a m p e l
ampera	a m p ex r ox
ampere	a m p ex r ex
ampère	a m p e r ex
ampéyan	a m p e y a n
amphibi	a m p h i b i
amphitheater	a m p h i th ex a t ex r
ampilan	a m p i l a n
ampingan	a m p i ng a n
amplas	a m p l a s
amplifier	a m p l i f i ex r
amplitudo	a m p l i t u d o
amplop	a m p l o p
ampuh	a m p u h
ampun	a m p u n
ampunan	a m p u n a n
ampyang	a m p y a ng
amral	a m r a l
amreta	a m r ex t ox
amrifit	a m r i f i t
amrih	a m r i h
amsal	a m s a l
amsterdam	a m s t ex r d a m
amstrong	a m s t r o ng
amuba	a m u b ox
amuboid	a m u b o i d
amujutaken	a m u j u t a k ex n
amuk	a m u k
amukan	a m u k a n
amukkani	a m u k k a n i
amundsen	a m u n d s ex n
amung	a m u ng
amungkala	a m u ng k ox l ox
amungme	a m u ng m ex
amuntai	a m u n t a i
amupus	a m u p u s
amurang	a m u r a ng
amurensis	a m u r ex n s i s
amurwabhumi	a m u r w a b h u m i
amurwakala	a m u r w ox k ox l ox
amwat	a m w a t
amygdaloideae	a m y g d a l o i d ex a ex
amyntas	a m y n t a s
an	a n
ana	ox n ox
anaan	a n a a n
anabar	a n a b a r
anabel	a n a b ex l
anabolisme	a n a b o l i s m ex
anacaardium	a n a c a a r d i u m
anaerobik	a n a ex r o b i k
anafilaksis	a n a f i l a k s i s
anaging	a n a g i ng
anaing	a n a i ng
anak	a n a k
anakakéqurban	a n a k a k e k u r b a n
anakan	a n a k a n
anakané	a n a k a n e
anake	a n a k ex
anaké	a n a k e
anakipun	a n a k i p u n
anakku	a n a k k u
anakletus	a n a k l ex t u s
anakmu	a n a k m u
anaknya	ox n ox k ny ox
anaksuku	a n a k s u k u
anal	a n a l
analek	a n a l ex k
analgetik	a n a l g ex t i k
analipun	a n a l i p u n
analisa	a n a l i s ox
analisis	a n a l i s i s
analitik	a n a l i t i k
analog	a n a l o g
analogi	a n a l o g i
analogues	a n a l o g u ex s
analyses	a n a l y s ex s
analysis	a n a l y s i s
anama	ox n ox m ox
anami	a n a m i
anan	a n a n
ananda	ox n ox n d ox
anandan	a n a n d a n
anandpur	a n a n d p u r
anane	a n a n ex
anané	a n a n e
ananékasalahan	a n a n e k a s a l a h a n
anang	a n a ng
anangga	ox n ox ng g ox
anangin	a n a ng i n
ananging	a n a ng i ng
anangning	a n a ng n i ng
ananing	a n a n i ng
ananinging	a n a n i ng i ng
anank	a n a n k
ananta	ox n ox n t ox
anantabhoga	a n a n t a b h o g ox
anantaboga	a n a n t a b o g ox
anantaséna	a n a n t a s e n ox
anantoboga	a n a n t o b o g ox
anapapat	a n a p a p a t
anapun	a n a p u n
anarchie	a n a r kh i ex
anarki	a n a r k i
anarkis	a n a r k i s
anarkisme	a n a r k i s m ex
anas	a n a s
anastasia	a n a s t a s i ox
anastasio	a n a s t a s i o
anastasius	a n a s t a s i u s
anastius	a n a s t i u s
anasuya	a n a s u y ox
anata	ox n ox t ox
anatar	a n a t a r
anatara	ox n ox t ox r ox
anatarané	a n a t a r a n e
anatol	a n a t o l
anatolia	a n a t o l i ox
anatomi	a n a t o m i
anatomis	a n a t o m i s
anatomy	a n a t o m y
anaximander	a n a k s i m a n d ex r
anbang	a n b a ng
ancak	a n c a k
ancaman	a n c a m a n
ancas	a n c a s
ancasane	a n c a s a n ex
ancasané	a n c a s a n e
ancase	a n c a s ex
ancasé	a n c a s e
ancasing	a n c a s i ng
ancasipun	a n c a s i p u n
ancelotti	a n c ex l o t t i
ancem	a n c ex m
ancen	a n c ex n
anchabi	a n kh a b i
anchois	a n kh o i s
anchor	a n kh o r
anchorage	a n kh o r a g ex
ancient	a n c i ex n t
ancol	a n c o l
ancur	a n c u r
and	a n d
anda	ox n d ox
andadèkaké	a n d a d e k a k e
andadosaken	a n d a d o s a k ex n
andahané	a n d a h a n e
andai	a n d a i
andakar	a n d a k a r
andal	a n d a l
andalan	a n d a l a n
andalane	a n d a l a n ex
andalané	a n d a l a n e
andalas	a n d a l a s
andaliman	a n d a l i m a n
andalus	a n d a l u s
andalusi	a n d a l u s i
andalusia	a n d a l u s i ox
andaman	a n d a m a n
andamanensis	a n d a m a n ex n s i s
andangu	a n d a ng u
andar	a n d a r
andara	ox n d ox r ox
andarbéni	a n d a r b e n i
andarbèni	a n d a r b e n i
andarias	a n d a r i a s
andean	a n d ex a n
andelané	a n d ex l a n e
andeleng	a n d ex l ex ng
andere	a n d ex r ex
anderlecht	a n d ex r l ex kh t
anders	a n d ex r s
anderson	a n d ex r s o n
andes	a n d ex s
andha	ox n dh ox
andhahan	a n dh a h a n
andhahanipun	a n dh a h a n i p u n
andhalan	a n dh a l a n
andhalangi	a n dh a l a ng i
andhanu	a n dh a n u
andhap	a n dh a p
andhapan	a n dh a p a n
andhapipun	a n dh a p i p u n
andhara	ox n dh ox r ox
andharan	a n dh a r a n
andharaning	a n dh a r a n i ng
andhé	a n dh e
andhedasar	a n dh ex d a s a r
andhedhasar	a n dh ex dh a s a r
andhedhasaraken	a n dh ex dh a s a r a k ex n
andhelane	a n dh ex l a n ex
andheng	a n dh ex ng
andher	a n dh ex r
andhesit	a n dh ex s i t
andhika	a n dh i k ox
andhini	a n dh i n i
andhong	a n dh o ng
andhra	ox n dh r ox
andhras	a n dh r a s
andhuk	a n dh u k
andhuweni	a n dh u w ex n i
andhuwéni	a n dh u w e n i
andi	a n d i
andie	a n d i ex
andien	a n d i ex n
andika	a n d i k ox
andisa	a n d i s ox
andity	a n d i t y
andjar	a n j a r
andong	a n d o ng
andora	a n d o r ox
andorra	a n d o r r ox
andosol	a n d o s o l
andover	a n d o f ex r
andra	ox n d r ox
andraé	a n d r a e
andrawina	a n d r a w i n ox
andre	a n d r ex
andré	a n d r e
andrea	a n d r ex ox
andrean	a n d r ex a n
andrei	a n d r ex i
andrengkeni	a n d r ex ng k ex n i
andres	a n d r ex s
andretti	a n d r ex t t i
andrew	a n d r ex w
andrews	a n d r ex w s
andrewsarchus	a n d r ex w s a r kh u s
andriani	a n d r i a n i
andriy	a n d r i y
androgen	a n d r o g ex n
androgèn	a n d r o g e n
andronikus	a n d r o n i k u s
androstenadion	a n d r o s t ex n a d i o n
andrzej	a n d r z ex j
anduk	a n d u k
andum	a n d u m
andung	a n d u ng
anduweni	a n d u w ex n i
anduwèni	a n d u w e n i
anduwweni	a n d u w w ex n i
andy	a n d y
aneh	a n ex h
anèh	a n e h
anéjakulasi	a n e j a k u l a s i
aneka	a n ex k ox
anéka	a n e k ox
anekdot	a n ex k d o t
anelakaké	a n ex l a k a k e
anelka	a n ex l k ox
anem	a n ex m
anèm	a n e m
anemia	a n ex m i ox
anémia	a n e m i ox
anemis	a n ex m i s
anemoi	a n ex m o i
anémométér	a n e m o m e t e r
anemon	a n ex m o n
anémon	a n e m o n
anemone	a n ex m o n ex
aneng	a n ex ng
anèng	a n e ng
anengah	a n ex ng a h
anentremaken	a n ex n t r ex m a k ex n
anestesi	a n ex s t ex s i
anestesiologi	a n ex s t ex s i o l o g i
anestetik	a n ex s t ex t i k
anetan	a n ex t a n
aneuk	a n ex u k
anéuploid	a n e u p l o i d
aneurisme	a n ex u r i s m ex
anéurisme	a n e u r i s m ex
anfang	a n f a ng
anfasa	ox n f ox s ox
anfield	a n f i ex l d
ang	a ng
angadahi	a ng a d a h i
angam	a ng a m
angampar	a ng a m p a r
angatirah	a ng a t i r a h
angel	a ng ex l
angél	a ng e l
angèl	a ng e l
angela	a ng ex l ox
angèle	a ng e l ex
angelerio	a ng ex l ex r i o
angeles	a ng ex l ex s
angelina	a ng ex l i n ox
angeling	a ng ex l i ng
angelis	a ng ex l i s
angelo	a ng ex l o
angels	a ng ex l s
angelus	a ng ex l u s
angely	a ng ex l y
angen	a ng ex n
angén	a ng e n
angèn	a ng e n
angerteni	a ng ex r t ex n i
anget	a ng ex t
angete	a ng ex t ex
angga	ox ng g ox
anggadahi	a ng g a d a h i
anggadhahi	a ng g a dh a h i
anggak	a ng g a k
anggane	a ng g a n ex
anggang	a ng g a ng
anggar	a ng g a r
anggara	ox ng g ox r ox
anggaran	a ng g a r a n
anggarwa	ox ng g ox r w ox
anggawe	a ng g a w ex
anggawé	a ng g a w e
anggé	a ng g e
anggegana	a ng g ex g ox n ox
anggegananipun	a ng g ex g a n a n i p u n
anggegurit	a ng g ex g u r i t
anggen	a ng g ex n
anggèn	a ng g e n
anggene	a ng g ex n ex
anggenipun	a ng g ex n i p u n
anggénipun	a ng g e n i p u n
anggènipun	a ng g e n i p u n
anggep	a ng g ex p
anggepé	a ng g ex p e
angger	a ng g ex r
anggere	a ng g ex r ex
anggi	a ng g i
anggia	a ng g i ox
anggitan	a ng g i t a n
anggitane	a ng g i t a n ex
anggitané	a ng g i t a n e
anggitanipun	a ng g i t a n i p u n
anggon	a ng g o n
anggone	a ng g o n ex
anggoné	a ng g o n e
anggonè	a ng g o n e
anggonegawé	a ng g o n ex g a w e
anggonené	a ng g o n ex n e
anggonipun	a ng g o n i p u n
anggonira	a ng g o n i r ox
anggore	a ng g o r ex
anggot	a ng g o t
anggota	a ng g o t ox
anggotan	a ng g o t a n
anggotane	a ng g o t a n ex
anggotané	a ng g o t a n e
anggotanipun	a ng g o t a n i p u n
anggotipun	a ng g o t i p u n
anggptanipun	a ng g p t a n i p u n
anggraeni	a ng g r a ex n i
anggraini	a ng g r a i n i
anggrek	a ng g r ex k
anggrék	a ng g r e k
anggrèk	a ng g r e k
anggrèkan	a ng g r e k a n
anggubah	a ng g u b a h
angguk	a ng g u k
anggun	a ng g u n
anggunadinata	a ng g u n a d i n ox t ox
anggur	a ng g u r
angguré	a ng g u r e
angie	a ng i ex
angin	a ng i n
anginake	a ng i n a k ex
anginaké	a ng i n a k e
anginaken	a ng i n a k ex n
anginé	a ng i n e
anginen	a ng i n ex n
anging	a ng i ng
anginipun	a ng i n i p u n
anginke	a ng i n k ex
angiosperm	a ng i o s p ex r m
angiospermae	a ng i o s p ex r m a ex
angiospermophyta	a ng i o s p ex r m o p h y t ox
angka	ox ng k ox
angkah	a ng k a h
angkahipun	a ng k a h i p u n
angkara	ox ng k ox r ox
angkasa	ox ng k ox s ox
angkat	a ng k a t
angkatan	a ng k a t a n
angkate	a ng k a t ex
angkatipun	a ng k a t i p u n
angkatnya	ox ng k ox t ny ox
angkawijaya	a ng k a w i j ox y ox
angké	a ng k e
angker	a ng k ex r
angket	a ng k ex t
angkèt	a ng k e t
angkinan	a ng k i n a n
angkles	a ng k l ex s
angklung	a ng k l u ng
angkola	a ng k o l ox
angkor	a ng k o r
angkot	a ng k o t
angkrem	a ng k r ex m
angkringan	a ng k r i ng a n
angkuh	a ng k u h
angkut	a ng k u t
angkutan	a ng k u t a n
angkutane	a ng k u t a n ex
anglais	a ng l a i s
anglajengaken	a ng l a j ex ng a k ex n
anglarani	a ng l a r a n i
anglawan	a ng l a w a n
angler	a ng l ex r
anglikan	a ng l i k a n
angling	a ng l i ng
anglingdarma	a ng l i ng d ox r m ox
anglo	a ng l o
anglung	a ng l u ng
angok	a ng o k
angola	a ng o l ox
angon	a ng o n
angragani	a ng r a g a n i
angrasa	ox ng r ox s ox
angratoni	a ng r a t o n i
angrem	a ng r ex m
angrerepa	a ng r ex r ex p ox
angsa	ox ng s ox
angsai	a ng s a i
angsal	a ng s a l
angsalan	a ng s a l a n
angslup	a ng s l u p
angsluping	a ng s l u p i ng
angsul	a ng s u l
anguilliformes	a ng u i l l i f o r m ex s
anguissola	a ng u i s s o l ox
angustifolia	a ng u s t i f o l i ox
anhalt	a n h a l t
anhar	a n h a r
anhidrat	a n h i d r a t
anhidrida	a n h i d r i d ox
anhu	a n h u
anhui	a n h u i
ani	a n i
anibare	a n i b a r ex
anicetus	a n i c ex t u s
anies	a n i ex s
anil	a n i l
anila	a n i l ox
animaccord	a n i m a c c o r d
animalia	a n i m a l i ox
animasi	a n i m a s i
animasinipun	a n i m a s i n i p u n
animation	a n i m a t i o n
animator	a n i m a t o r
anime	a n i m ex
animé	a n i m e
animisme	a n i m i s m ex
anion	a n i o n
aniru	a n i r u
aniruda	a n i r u d ox
anisatum	a n i s a t u m
aniston	a n i s t o n
anita	a n i t ox
anjagèni	a ny a g e n i
anjali	a ny a l i
anjaluk	a ny a l u k
anjana	ox ny ox n ox
anjani	a ny a n i
anjasmara	ox ny ox s m ox r ox
anjasmoro	a ny a s m o r o
anjatan	a ny a t a n
anjaza	ox ny ox z ox
anjegah	a ny ex g a h
anji	a ny i
anjing	a ny i ng
anjlig	a ny l i g
anjlog	a ny l o g
anjlok	a ny l o k
anjrah	a ny r a h
anjukladang	a ny u k l a d a ng
anjungan	a ny u ng a n
anjur	a ny u r
anjuran	a ny u r a n
ankara	ox n k ox r ox
ankylosaurids	a n k y l o s a u r i d s
ankylosaurus	a n k y l o s a u r u s
ann	a n n
anna	ox n n ox
annaa	ox n n ox ox
annabelle	a n n a b ex l l ex
annaging	a n n a g i ng
annales	a n n a l ex s
annan	a n n a n
annapurna	a n n a p u r n ox
anne	a n n ex
anneke	a n n ex k ex
annelida	a n n ex l i d ox
annesley	a n n ex s l ex y
annida	a n n i d ox
annis	a n n i s
annisa	a n n i s ox
anno	a n n o
annual	a n n u a l
annuario	a n n u a r i o
annum	a n n u m
anny	a n ny
anoa	a n o ox
anom	a n o m
anomali	a n o m a l i
anomalodesmata	a n o m a l o d ex s m ox t ox
anoman	a n o m a n
anonim	a n o n i m
anopheles	a n o p h ex l ex s
anorexic	a n o r ex k s i c
anorganik	a n o r g a n i k
anresnani	a n r ex s n a n i
ansari	a n s a r i
anse	a n s ex
ansgar	a n s g a r
anshar	a n sy a r
ansuman	a n s u m a n
anta	ox n t ox
antaboga	a n t a b o g ox
antagonis	a n t a g o n i s
antagopa	a n t a g o p ox
antallahul	a n t a l l a h u l
antalya	ox n t ox l y ox
antam	a n t a m
antapani	a n t a p a n i
antar	a n t a r
antara	ox n t ox r ox
antaralur	a n t a r a l u r
antarane	a n t a r a n ex
antarané	a n t a r a n e
antaranè	a n t a r a n e
antaraning	a n t a r a n i ng
antaranya	ox n t ox r ox ny ox
antarbasa	ox n t ox r b ox s ox
antarbudaya	a n t a r b u d ox y ox
antarctic	a n t a r c t i c
antarctica	a n t a r c t i c ox
antardepartemen	a n t a r d ex p a r t ex m ex n
antareja	a n t a r ex j ox
antariksa	a n t a r i k s ox
antarkomune	a n t a r k o m u n ex
antarkota	a n t a r k o t ox
antarktika	a n t a r k t i k ox
antarkutha	a n t a r k u th ox
antarlintang	a n t a r l i n t a ng
antarnagari	a n t a r n a g a r i
antarnegara	a n t a r n ex g ox r ox
antarplanèt	a n t a r p l a n e t
antartika	a n t a r t i k ox
antasari	a n t a s a r i
antasena	a n t a s ex n ox
antaséna	a n t a s e n ox
antasida	a n t a s i d ox
antawacana	ox n t ox w ox c ox n ox
antawasipun	a n t a w a s i p u n
antawis	a n t a w i s
antawising	a n t a w i s i ng
antawisipun	a n t a w i s i p u n
antawulan	a n t a w u l a n
ante	a n t ex
anteater	a n t ex a t ex r
antedon	a n t ex d o n
antelope	a n t ex l o p ex
antena	a n t ex n ox
anténa	a n t e n ox
antèna	a n t e n ox
antenané	a n t ex n a n e
anteng	a n t ex ng
antêpan	a n t e p a n
anterior	a n t ex r i o r
anterus	a n t ex r u s
anthem	a n th ex m
anthiokhia	a n th i o kh i ox
anthocyanins	a n th o c y a n i n s
anthon	a n th o n
anthony	a n th o ny
anthophyta	a n th o p h y t ox
anthozoa	a n th o z o ox
anthranilate	a n th r a n i l a t ex
anthropologi	a n th r o p o l o g i
anthropological	a n th r o p o l o g i c a l
anthropologie	a n th r o p o l o g i ex
anthropology	a n th r o p o l o g y
anthurium	a n th u r i u m
anti	a n t i
antiapartheid	a n t i a p a r th ex i d
antibakteri	a n t i b a k t ex r i
antibeku	a n t i b ex k u
antibiotik	a n t i b i o t i k
antibiotika	a n t i b i o t i k ox
antibodi	a n t i b o d i
antidiabetes	a n t i d i a b ex t ex s
antiga	a n t i g ox
antigen	a n t i g ex n
antigenik	a n t i g ex n i k
antiglobalisasi	a n t i g l o b a l i s a s i
antigua	a n t i g u ox
antik	a n t i k
antikanker	a n t i k a n k ex r
antiklinal	a n t i k l i n a l
antikoagulan	a n t i k o a g u l a n
antikolonial	a n t i k o l o n i a l
antilemud	a n t i l ex m u d
antillen	a n t i l l ex n
antilles	a n t i l l ex s
antimatèri	a n t i m a t e r i
antimon	a n t i m o n
antimoni	a n t i m o n i
anting	a n t i ng
antiokhia	a n t i o kh i ox
antioksidan	a n t i o k s i d a n
antioksidane	a n t i o k s i d a n ex
antioxidant	a n t i o k s i d a n t
antipanggetihan	a n t i p a ng g ex t i h a n
antiparalel	a n t i p a r a l ex l
antipemerintah	a n t i p ex m ex r i n t a h
